station_code,station_name,state,zone,address,latitude,longitude
BDHL,Badhal,Rajasthan,NWR,"Kishangarh Renwal, Rajasthan",27.2520587,75.4516454
KHH,KICHHA,Uttar Pradesh,NER,"Kichha, Uttar Pradesh",28.913427000000002,79.519746
SRKN,Sherekan,Rajasthan,NWR,"MDR 89, Rajasthan",29.55519806064484,74.43499088287354
BKKA,Bhukarka,Rajasthan,NWR,"Bhukarka, Rajasthan",29.238227312503696,74.75103096105158
NHR,Nohar,Rajasthan,NWR,"State Highway 36, Rajasthan",29.192562738768984,74.77362781763077
PRGD,Perungudi,Tamil Nadu,SR,"Chennai, Tamil Nadu",12.975217,80.231363
KNNA,Khinaniyan,Haryana,NWR,"State Highway 23, Haryana",29.345637263205944,74.7179570607841
DOD,DHODHAR,Madhya Pradesh,WR,"Dhodar, Madhya Pradesh",23.770740999999997,75.10354600000001
JNM,Jayanagar Majilpur Halt,West Bengal,ER,"Jaynagar, West Bengal",22.168635,88.415324
NSD,NASIRABAD,Rajasthan,NWR,"Nasirabad, Rajasthan",26.294459999999997,74.71699100000001
NZB,NIZAMABAD,Andhra Pradesh,SCR,"Nizamabad, Andhra Pradesh",18.679164999999998,78.103238
ADT,ADUTURAI,Tamil Nadu,SR,"Aduthurai, Tamil Nadu",11.009165,79.478668
KMU,KUMBAKONAM,Tamil Nadu,SR,"Kumbakonam, Tamil Nadu",10.952962,79.388644
MNM,MANAMADURAI JN,Tamil Nadu,SR,"Sivaganga, Tamil Nadu",9.681538999999999,78.45351
BTU,BARAUT,Uttar Pradesh,NR,"Baraut, Uttar Pradesh",29.09692,77.273006
MOGA,Moga,Punjab,NR,"Moga, Punjab",30.817296,75.16846699999999
RDK,Rasheedpura Khori,Rajasthan,NWR,"MDR 87, Rajasthan",27.713786000000002,75.087121
SNSI,SAINAGAR SHIRDI,Maharashtra,CR,"Near New Bus Stand Shirdi Sainagar, Maharashtra",19.780792299999998,74.4806877
DLJ,DHOLA JN,Gujarat,WR,"Dhola, Gujarat",21.822549000000002,71.738273
AQG,ASHAPURA GOMAT,Rajasthan,NWR,"National Highway 15, Rajasthan",26.950232,71.892665
MTPC,MOTIPURA CHAUKI,Rajasthan,WCR,"Motipura, Rajasthan",24.6093382288,77.04829951629999
DDNI,DUDHNOI,Assam,NFR,"Dudhnoi Railway Station, Assam",26.001459,90.76188
IJ,ITAUNJA,Uttar Pradesh,NER,"Itaunja, Uttar Pradesh",27.081066999999997,80.89123400000001
RMX,Ramsar,Rajasthan,NWR,"Barmer, Rajasthan",25.722252,70.866078
PBE,PILIBHIT JN,Uttar Pradesh,NER,"Pilibhit, Uttar Pradesh",28.614977999999997,79.813946
RMB,Rampura Beri,Rajasthan,NWR,"Rampura Bhal, Rajasthan",28.5301320576,75.64547982849999
